S_Moisture,T2M_MIN,WS10M_MIN,W_Level,PRECTOT,RES
27.70815120909379,12.23,1.38,0,14.213967772076519,0
27.70815120909379,12.97,0.89,0,14.213967772076519,0
13.160104609032686,15.97,0.28,0,1.5231710226959663,0
27.70815120909379,11.76,3.26,0,14.213967772076519,0
27.70815120909379,11.27,1.88,0,14.213967772076519,0
27.70815120909379,11.81,0.44,0,14.213967772076519,0
27.70815120909379,11.79,0.27,0,14.213967772076519,0
27.70815120909379,12.31,1.84,0,14.213967772076519,0
27.70815120909379,11.64,3.14,0,14.213967772076519,0
27.70815120909379,9.04,3.07,0,14.213967772076519,0
27.70815120909379,8.95,2.86,0,14.213967772076519,0
29.156383865684614,13.0,2.63,0,14.833492756237282,0
27.70815120909379,9.67,2.83,0,14.213967772076519,0
27.70815120909379,9.21,3.53,0,14.213967772076519,0
27.70815120909379,10.43,2.06,0,14.213967772076519,0
27.70815120909379,11.51,1.97,0,14.213967772076519,0
27.70815120909379,11.28,0.15,0,14.213967772076519,0
27.70815120909379,11.97,1.16,0,14.213967772076519,0
27.70815120909379,12.48,0.57,0,14.213967772076519,0
27.70815120909379,11.97,0.62,0,14.213967772076519,0
27.70815120909379,12.8,1.36,0,14.213967772076519,0
27.70815120909379,13.94,1.52,0,14.213967772076519,0
27.70815120909379,14.29,2.32,0,14.213967772076519,0
27.70815120909379,15.15,0.42,0,14.213967772076519,0
27.70815120909379,12.19,2.76,0,14.213967772076519,0
27.70815120909379,11.99,1.76,0,14.213967772076519,0
27.70815120909379,14.34,0.95,0,14.213967772076519,0
27.70815120909379,15.94,1.69,0,14.213967772076519,0
27.70815120909379,14.96,0.92,0,14.213967772076519,0
27.70815120909379,15.5,0.74,0,14.213967772076519,0
27.70815120909379,13.85,1.57,0,14.213967772076519,0
27.70815120909379,13.78,0.72,0,14.213967772076519,0
27.70815120909379,12.82,1.63,0,14.213967772076519,0
27.70815120909379,13.08,0.35,0,14.213967772076519,0
27.70815120909379,14.33,0.65,0,14.213967772076519,0
27.70815120909379,15.77,0.32,0,14.213967772076519,0
27.70815120909379,17.45,2.3,0,14.213967772076519,0
27.70815120909379,17.75,1.29,0,14.213967772076519,0
30.06734200484202,19.38,1.16,0,2.038407702684104,0
19.85883804257001,14.2,2.7,0,6.832246502388514,0
27.70815120909379,10.54,2.19,0,14.213967772076519,0
27.70815120909379,8.83,1.7,0,14.213967772076519,0
27.70815120909379,8.83,3.28,0,14.213967772076519,0
27.70815120909379,9.58,3.43,0,14.213967772076519,0
27.70815120909379,10.27,3.47,0,14.213967772076519,0
27.70815120909379,10.56,1.72,0,14.213967772076519,0
27.70815120909379,14.51,0.32,0,14.213967772076519,0
27.70815120909379,10.6,3.87,0,14.213967772076519,0
27.70815120909379,9.18,0.81,0,14.213967772076519,0
27.70815120909379,10.63,0.25,0,14.213967772076519,0
27.70815120909379,13.06,1.04,0,14.213967772076519,0
27.70815120909379,15.93,1.25,0,14.213967772076519,0
27.70815120909379,17.81,1.06,0,14.213967772076519,0
27.70815120909379,15.31,2.12,0,14.213967772076519,0
27.70815120909379,14.94,1.13,0,14.213967772076519,0
27.70815120909379,17.28,0.4,0,14.213967772076519,0
27.70815120909379,18.1,1.54,0,14.213967772076519,0
27.70815120909379,17.28,1.68,0,14.213967772076519,0
27.70815120909379,18.79,0.88,0,14.213967772076519,0
27.70815120909379,16.37,2.31,0,14.213967772076519,0
27.70815120909379,17.93,0.8,0,14.213967772076519,0
27.70815120909379,19.91,2.9,0,14.213967772076519,0
27.70815120909379,19.12,2.77,0,14.213967772076519,0
27.70815120909379,19.24,1.94,0,14.213967772076519,0
27.70815120909379,19.94,1.73,0,14.213967772076519,0
27.70815120909379,18.04,1.75,0,14.213967772076519,0
27.70815120909379,17.16,2.8,0,14.213967772076519,0
